resource,consumer
Aged detritus,Polychaeta
Aged detritus,Polynoidae
Aged detritus,Gitanopsis squamosa
Aged detritus,Gobionotothen gibberifrons
Aged detritus,Notothenia rossii
Aged detritus,Ophionotus victoriae
Aged detritus,Aequiyoldia eightsii
Aged detritus,Salpidae
Aged detritus,Gammaridea
Aged detritus,Ostracoda
Aged detritus,Oligochaeta
Aged detritus,Tanaidacea
Aged detritus,Nereididae
Aged detritus,Cumacea
Aged detritus,Cheirimedon femoratus
Aged detritus,Orchomenella sp.
Aged detritus,Paradexamine fissicauda
Aged detritus,Nemertea
Aged detritus,Spionidae
Aged detritus,Terebellidae
Aged detritus,Laternula elliptica
Aged detritus,Hippomedon kergueleni
Aged detritus,Sterechinus neumayeri
Aged detritus,Aglaophamus trissophyllus
Aged detritus,Odontaster validus
Aged detritus,Notothenia coriiceps
Benthic Diatomea,Polynoidae
Benthic Diatomea,Hydrozoa
Benthic Diatomea,Porifera
Benthic Diatomea,Bovallia gigantea
Benthic Diatomea,Charcotia obesa
Benthic Diatomea,Eurymera monticulosa
Benthic Diatomea,Priapulida
Benthic Diatomea,Mysida
Benthic Diatomea,Ophionotus victoriae
Benthic Diatomea,Aequiyoldia eightsii
Benthic Diatomea,Chalinidae
Benthic Diatomea,Dendrilla antarctica
Benthic Diatomea,Rosella antartica
Benthic Diatomea,Rossella sp.
Benthic Diatomea,Stylo_Myca
Benthic Diatomea,Gammaridea
Benthic Diatomea,Ostracoda
Benthic Diatomea,Polyplacophora
Benthic Diatomea,Tanaidacea
Benthic Diatomea,Nereididae
Benthic Diatomea,Cumacea
Benthic Diatomea,Oradarea bidentata
Benthic Diatomea,Djerboa furcipes
Benthic Diatomea,Margarella antarctica
Benthic Diatomea,Nacella concinna
Benthic Diatomea,Orchomenella sp.
Benthic Diatomea,Ascidiacea
Benthic Diatomea,Spionidae
Benthic Diatomea,Terebellidae
Benthic Diatomea,Laternula elliptica
Benthic Diatomea,Hemiarthrum setulosum
Benthic Diatomea,Sterechinus neumayeri
Benthic Diatomea,Doris kerguelenensis
Benthic Diatomea,Aglaophamus trissophyllus
Benthic Diatomea,Odontaster validus
Benthic Diatomea,Parborlasia corrugatus
Fresh detritus,Polychaeta
Fresh detritus,Copepoda
Fresh detritus,Gastropoda
Fresh detritus,Hydrozoa
Fresh detritus,Porifera
Fresh detritus,Bovallia gigantea
Fresh detritus,Charcotia obesa
Fresh detritus,Eurymera monticulosa
Fresh detritus,Gitanopsis squamosa
Fresh detritus,Paradexamine sp.
Fresh detritus,Prostebbingia gracilis
Fresh detritus,Prostebbingia sp.
Fresh detritus,Pariphimedia integricauda
Fresh detritus,Mysida
Fresh detritus,Ophionotus victoriae
Fresh detritus,Aequiyoldia eightsii
Fresh detritus,Chalinidae
Fresh detritus,Dendrilla antarctica
Fresh detritus,Rosella antartica
Fresh detritus,Rossella sp.
Fresh detritus,Stylo_Myca
Fresh detritus,Bryozoa
Fresh detritus,Salpidae
Fresh detritus,Ostracoda
Fresh detritus,Polyplacophora
Fresh detritus,Tanaidacea
Fresh detritus,Glyptonotus antarcticus
Fresh detritus,Nereididae
Fresh detritus,Oradarea bidentata
Fresh detritus,Probolisca ovata
Fresh detritus,Cheirimedon femoratus
Fresh detritus,Djerboa furcipes
Fresh detritus,Eatoniella sp.
Fresh detritus,Orchomenella sp.
Fresh detritus,Paradexamine fissicauda
Fresh detritus,Ascidiacea
Fresh detritus,Terebellidae
Fresh detritus,Sterechinus neumayeri
Fresh detritus,Aglaophamus trissophyllus
Fresh detritus,Barrukia cristata
Fresh detritus,Diplasterias brucei
Fresh detritus,Odontaster validus
Phytoplankton,Copepoda
Phytoplankton,Zooplankton
Phytoplankton,Hydrozoa
Phytoplankton,Charcotia obesa
Phytoplankton,Gitanopsis squamosa
Phytoplankton,Prostebbingia gracilis
Phytoplankton,Prostebbingia sp.
Phytoplankton,Euphausia superba
Phytoplankton,Mysida
Phytoplankton,Aequiyoldia eightsii
Phytoplankton,Stylo_Myca
Phytoplankton,Bryozoa
Phytoplankton,Salpidae
Phytoplankton,Gammaridea
Phytoplankton,Ostracoda
Phytoplankton,Polyplacophora
Phytoplankton,Tanaidacea
Phytoplankton,Djerboa furcipes
Phytoplankton,Paradexamine fissicauda
Phytoplankton,Ascidiacea
Phytoplankton,Laternula elliptica
Phytoplankton,Cephalopoda
Phytoplankton,Malacobelemnon daytoni
Polychaeta,Polynoidae
Polychaeta,Priapulida
Polychaeta,Gobionotothen gibberifrons
Polychaeta,Harpagifer antarcticus
Polychaeta,Lindbergichthys nudifrons
Polychaeta,Notothenia rossii
Polychaeta,Octopoda
Polychaeta,Ophionotus victoriae
Polychaeta,Aequiyoldia eightsii
Polychaeta,Glyptonotus antarcticus
Polychaeta,Serolis sp.
Polychaeta,Cephalopoda
Polychaeta,Sterechinus neumayeri
Polychaeta,Aglaophamus trissophyllus
Polychaeta,Barrukia cristata
Polychaeta,Trematomus newnesi
Polychaeta,Odontaster validus
Polychaeta,Notothenia coriiceps
Polychaeta,Parborlasia corrugatus
Copepoda,Polychaeta
Copepoda,Polynoidae
Copepoda,Zooplankton
Copepoda,Hydrozoa
Copepoda,Bovallia gigantea
Copepoda,Euphausia superba
Copepoda,Gobionotothen gibberifrons
Copepoda,Harpagifer antarcticus
Copepoda,Lindbergichthys nudifrons
Copepoda,Mysida
Copepoda,Notothenia rossii
Copepoda,Ophionotus victoriae
Copepoda,Salpidae
Copepoda,Gammaridea
Copepoda,Cheirimedon femoratus
Copepoda,Orchomenella sp.
Copepoda,Nemertea
Copepoda,Cephalopoda
Copepoda,Hyperiidea
Copepoda,Aglaophamus trissophyllus
Copepoda,Barrukia cristata
Copepoda,Trematomus newnesi
Copepoda,Trematomus bernacchii
Copepoda,Notothenia coriiceps
Polynoidae,Hydrozoa
Polynoidae,Harpagifer antarcticus
Polynoidae,Ophionotus victoriae
Polynoidae,Nemertea
Polynoidae,Aglaophamus trissophyllus
Polynoidae,Trematomus bernacchii
Zooplankton,Copepoda
Zooplankton,Hydrozoa
Zooplankton,Euphausia superba
Zooplankton,Mysida
Zooplankton,Salpidae
Zooplankton,Ostracoda
Zooplankton,Nereididae
Zooplankton,Ascidiacea
Zooplankton,Terebellidae
Zooplankton,Cephalopoda
Zooplankton,Hemiarthrum setulosum
Zooplankton,Hyperiidea
Zooplankton,Sterechinus neumayeri
Zooplankton,Trematomus bernacchii
Zooplankton,Malacobelemnon daytoni
Gastropoda,Polynoidae
Gastropoda,Gobionotothen gibberifrons
Gastropoda,Harpagifer antarcticus
Gastropoda,Lindbergichthys nudifrons
Gastropoda,Notothenia rossii
Gastropoda,Ophionotus victoriae
Gastropoda,Glyptonotus antarcticus
Gastropoda,Barrukia cristata
Gastropoda,Trematomus newnesi
Gastropoda,Diplasterias brucei
Gastropoda,Odontaster validus
Gastropoda,Trematomus bernacchii
Gastropoda,Notothenia coriiceps
Gastropoda,Urticinopsis antarctica
Hydrozoa,Polynoidae
Hydrozoa,Notothenia rossii
Hydrozoa,Ophionotus victoriae
Hydrozoa,Nereididae
Hydrozoa,Sterechinus neumayeri
Hydrozoa,Barrukia cristata
Hydrozoa,Odontaster validus
Hydrozoa,Trematomus bernacchii
Hydrozoa,Notothenia coriiceps
